iter	Passed	Remaining
0	3	381
1	5	267
2	8	267
3	10	258
4	12	245
5	15	242
6	18	243
7	21	242
8	23	240
9	24	224
10	27	221
11	29	219
12	31	211
13	33	207
14	36	204
15	39	206
16	42	206
17	44	202
18	46	198
19	47	190
20	50	190
21	51	182
22	54	183
23	57	182
24	59	179
25	62	176
26	64	175
27	67	174
28	70	173
29	74	172
30	75	167
31	76	162
32	79	160
33	82	159
34	84	157
35	87	156
36	89	152
37	91	149
38	93	145
39	96	144
40	99	143
41	102	141
42	105	139
43	107	137
44	110	135
45	112	131
46	115	130
47	118	128
48	121	126
49	122	122
50	125	120
51	128	118
52	130	116
53	133	113
54	136	111
55	139	109
56	141	106
57	144	104
58	147	102
59	150	100
60	152	97
61	155	95
62	158	92
63	161	90
64	164	88
65	166	85
66	169	83
67	170	80
68	173	77
69	177	75
70	180	73
71	183	71
72	185	68
73	188	66
74	191	63
75	193	61
76	196	58
77	198	56
78	200	53
79	203	50
80	206	48
81	209	45
82	213	43
83	224	42
84	231	40
85	244	39
86	246	36
87	248	33
88	251	31
89	254	28
90	257	25
91	260	22
92	262	19
93	265	16
94	268	14
95	271	11
96	274	8
97	277	5
98	279	2
99	282	0
