iter	RMSE
0	11356.51134
1	11007.36101
2	10681.78304
3	10359.78886
4	10066.76731
5	9786.973353
6	9496.884691
7	9243.396203
8	8996.318224
9	8756.787905
10	8542.468885
11	8338.492445
12	8147.454973
13	7961.818827
14	7764.075838
15	7600.621176
16	7417.920144
17	7242.758009
18	7094.076788
19	6950.474756
20	6821.872123
21	6683.370209
22	6553.362091
23	6427.757967
24	6325.20222
25	6217.730359
26	6121.678125
27	6018.09387
28	5925.991237
29	5843.653692
30	5769.218166
31	5687.879946
32	5615.110023
33	5542.079556
34	5480.861699
35	5416.439913
36	5358.227355
37	5307.505617
38	5249.880276
39	5196.547192
40	5151.86507
41	5105.46716
42	5063.599256
43	5022.28406
44	4981.506509
45	4943.378366
46	4909.163353
47	4879.799264
48	4847.870333
49	4816.246846
50	4786.347646
51	4762.927491
52	4738.743099
53	4715.814345
54	4693.37763
55	4670.922261
56	4652.198188
57	4630.042516
58	4610.336665
59	4593.485431
60	4575.713383
61	4559.939033
62	4546.115645
63	4531.670802
64	4518.74664
65	4505.171002
66	4494.188132
67	4483.073551
68	4473.194479
69	4462.764187
70	4452.326007
71	4442.597347
72	4434.69804
73	4425.293416
74	4417.030417
75	4407.720556
76	4400.487128
77	4392.282969
78	4387.00798
79	4379.846681
80	4372.05665
81	4365.723091
82	4360.265324
83	4354.059423
84	4348.348487
85	4343.686311
86	4336.737276
87	4331.169188
88	4325.509786
89	4319.297183
90	4314.611588
91	4309.364811
92	4305.374227
93	4303.546639
94	4299.658178
95	4296.636746
96	4293.47163
97	4289.339905
98	4285.386862
99	4281.384067
100	4280.254192
101	4274.603705
102	4272.105179
103	4269.002893
104	4265.545524
105	4263.264827
106	4258.634492
107	4258.140273
108	4254.092078
109	4249.927074
110	4247.935746
111	4244.434806
112	4241.517692
113	4239.725133
114	4236.831481
115	4229.703074
116	4227.154407
117	4223.296595
118	4217.716276
119	4215.719688
120	4214.387168
121	4213.682659
122	4211.314546
123	4209.606285
124	4206.806949
125	4204.462544
126	4201.051767
127	4197.93752
128	4196.268439
129	4193.915663
130	4190.62017
131	4188.954666
132	4186.421981
133	4184.31465
134	4181.207334
135	4178.019463
136	4176.22279
137	4172.72539
138	4169.991019
139	4166.979208
140	4164.919923
141	4163.42691
142	4162.160997
143	4156.856897
144	4155.915056
145	4154.93605
146	4154.01941
147	4152.615319
148	4151.981477
149	4150.986738
150	4147.968342
151	4146.612189
152	4145.412647
153	4142.536935
154	4137.773259
155	4134.600636
156	4132.754991
157	4130.522252
158	4129.516047
159	4127.27532
160	4124.796007
161	4123.424368
162	4121.853429
163	4119.46701
164	4115.299411
165	4115.008945
166	4112.367243
167	4109.201176
168	4108.13518
169	4104.538212
170	4103.115166
171	4101.602813
172	4100.663584
173	4100.226786
174	4097.917576
175	4097.123604
176	4095.214954
177	4094.087034
178	4092.910711
179	4088.42715
180	4086.322124
181	4082.178242
182	4080.523097
183	4077.383963
184	4075.916767
185	4074.070242
186	4072.626047
187	4070.662889
188	4069.523779
189	4068.109815
190	4063.151081
191	4060.959548
192	4059.208639
193	4055.711097
194	4050.821955
195	4049.351741
196	4046.747784
197	4046.22148
198	4044.964574
199	4043.536583
200	4043.038764
201	4041.942579
202	4037.869116
203	4036.31742
204	4034.83916
205	4032.069081
206	4031.050983
207	4028.784882
208	4026.29658
209	4024.476467
210	4023.773492
211	4021.387151
212	4020.118649
213	4019.311636
214	4016.639701
215	4015.0328
216	4012.422826
217	4009.886244
218	4005.656099
219	4003.951194
220	4003.101639
221	4000.456437
222	3998.101525
223	3996.584586
224	3994.311019
225	3992.581641
226	3992.393708
227	3990.029377
228	3988.970138
229	3987.848042
230	3984.512757
231	3980.503168
232	3977.043462
233	3976.455566
234	3974.404678
235	3974.236991
236	3970.635132
237	3967.740447
238	3967.323291
239	3966.916537
240	3966.274281
241	3964.333425
242	3958.397536
243	3956.12324
244	3953.831972
245	3951.75606
246	3948.101623
247	3946.795538
248	3946.213383
249	3944.432687
250	3943.581265
251	3943.135523
252	3942.561712
253	3941.236932
254	3940.638078
255	3939.283365
256	3937.68303
257	3937.350668
258	3934.178637
259	3932.26867
260	3930.212069
261	3929.689522
262	3927.43416
263	3925.056693
264	3924.26823
265	3922.654627
266	3919.418556
267	3917.53502
268	3915.265705
269	3912.221927
270	3909.134748
271	3908.646131
272	3906.392285
273	3903.808004
274	3902.54469
275	3901.55433
276	3899.951534
277	3899.482592
278	3897.834286
279	3895.515157
280	3893.291473
281	3891.198806
282	3889.381357
283	3886.574483
284	3885.815308
285	3884.065513
286	3880.626179
287	3878.676264
288	3878.038606
289	3876.267764
290	3875.542347
291	3871.219563
292	3870.678594
293	3870.241796
294	3869.296318
295	3867.171915
296	3865.63068
297	3861.909201
298	3860.714967
299	3858.118521
300	3856.79542
301	3854.207501
302	3851.494509
303	3849.56106
304	3847.719284
305	3846.36898
306	3844.487381
307	3843.976799
308	3843.441871
309	3843.027306
310	3841.64218
311	3839.435816
312	3835.916792
313	3833.391041
314	3832.991653
315	3829.632867
316	3828.070586
317	3825.501258
318	3820.474654
319	3816.874971
320	3816.083705
321	3812.904257
322	3811.928145
323	3810.305874
324	3805.683488
325	3805.30108
326	3804.815943
327	3804.047501
328	3801.989721
329	3801.433936
330	3798.661224
331	3797.219577
332	3795.088263
333	3792.453746
334	3788.811258
335	3787.727564
336	3787.37255
337	3782.966307
338	3781.08951
339	3780.588528
340	3777.439042
341	3776.306782
342	3773.940543
343	3772.930329
344	3772.607824
345	3770.562812
346	3768.974299
347	3767.266538
348	3766.477001
349	3765.06631
350	3763.431626
351	3761.502302
352	3757.705856
353	3756.214274
354	3755.91027
355	3755.415664
356	3754.132075
357	3752.887097
358	3749.987739
359	3747.99563
360	3746.670032
361	3743.458948
362	3739.629852
363	3738.436855
364	3736.488481
365	3735.705419
366	3735.165361
367	3734.203636
368	3732.463308
369	3731.897229
370	3729.001199
371	3728.180461
372	3726.598235
373	3725.008586
374	3724.560214
375	3723.654556
376	3723.389111
377	3721.420637
378	3718.819662
379	3717.72873
380	3713.724463
381	3711.765837
382	3711.508521
383	3710.44387
384	3707.581989
385	3707.173971
386	3706.78066
387	3705.580533
388	3704.539891
389	3704.295493
390	3703.009693
391	3701.169783
392	3699.736629
393	3699.004567
394	3697.205227
395	3696.44572
396	3695.765687
397	3693.341086
398	3693.093862
399	3692.090649
400	3691.112171
401	3689.165676
402	3687.848006
403	3686.223955
404	3685.169655
405	3684.235706
406	3683.280062
407	3680.606288
408	3676.596006
409	3675.703216
410	3675.035089
411	3673.252396
412	3671.215915
413	3669.597347
414	3668.393522
415	3665.803747
416	3662.206286
417	3662.12423
418	3661.250641
419	3659.867043
420	3657.54779
421	3657.222638
422	3655.172904
423	3653.310798
424	3652.033357
425	3651.136793
426	3649.37502
427	3648.054031
428	3647.686593
429	3645.748161
430	3643.564768
431	3640.669613
432	3639.037987
433	3638.329102
434	3637.195001
435	3636.972866
436	3633.972225
437	3633.215073
438	3632.980849
439	3632.274706
440	3631.018334
441	3629.576546
442	3628.362841
443	3628.150868
444	3626.551614
445	3626.019572
446	3625.81529
447	3624.626059
448	3623.720578
449	3623.511989
450	3622.086945
451	3619.916854
452	3619.0335
453	3617.676742
454	3615.535023
455	3614.613857
456	3612.317066
457	3611.951379
458	3611.756382
459	3610.64646
460	3609.480622
461	3607.713884
462	3606.919677
463	3606.126446
464	3606.066807
465	3604.454304
466	3602.394819
467	3600.259685
468	3598.280849
469	3597.179315
470	3595.856428
471	3595.662464
472	3592.818456
473	3589.579147
474	3587.611864
475	3586.506926
476	3585.07368
477	3583.993994
478	3581.771255
479	3580.686429
480	3578.488313
481	3575.431214
482	3574.040856
483	3571.711978
484	3571.075335
485	3569.841966
486	3566.858002
487	3564.73846
488	3563.246342
489	3562.433833
490	3562.248741
491	3560.775243
492	3559.991132
493	3558.785845
494	3557.641744
495	3556.6975
496	3554.808239
497	3554.629148
498	3553.40462
499	3551.476184
500	3550.454222
501	3548.802303
502	3547.930903
503	3546.383408
504	3542.548325
505	3542.083541
506	3540.030089
507	3537.97518
508	3535.477451
509	3533.917758
510	3533.743048
511	3533.5701
512	3532.199313
513	3531.469643
514	3529.981081
515	3529.81192
516	3529.648094
517	3528.198054
518	3525.163313
519	3523.200199
520	3523.041385
521	3521.829542
522	3520.970652
523	3519.982735
524	3517.284399
525	3515.524811
526	3515.260557
527	3514.121232
528	3513.908487
529	3513.324984
530	3511.394959
531	3509.459395
532	3507.759359
533	3506.637233
534	3504.966467
535	3503.617277
536	3502.752788
537	3501.179512
538	3499.965742
539	3499.373187
540	3499.069192
541	3496.223736
542	3496.078003
543	3494.310516
544	3491.795055
545	3491.512485
546	3489.757091
547	3488.850717
548	3486.855913
549	3485.13293
550	3483.461373
551	3482.378047
552	3480.699843
553	3478.301416
554	3478.162721
555	3477.657717
556	3476.312559
557	3474.863971
558	3472.51978
559	3471.774695
560	3469.691663
561	3468.182081
562	3467.477744
563	3466.332457
564	3466.19912
565	3464.889563
566	3462.789083
567	3462.289811
568	3461.26817
569	3460.404051
570	3459.645811
571	3458.9346
572	3456.240372
573	3456.110251
574	3455.251654
575	3453.594036
576	3451.410807
577	3450.73128
578	3450.281741
579	3448.807992
580	3447.407855
581	3447.288804
582	3445.209052
583	3445.076049
584	3442.591731
585	3441.764223
586	3441.501953
587	3440.669371
588	3440.043296
589	3438.938425
590	3437.896872
591	3437.786591
592	3435.485177
593	3434.192551
594	3431.508139
595	3430.128932
596	3429.68299
597	3428.057226
598	3427.294564
599	3426.30148
600	3425.930137
601	3424.155211
602	3421.222988
603	3419.566897
604	3418.358174
605	3417.733425
606	3416.211041
607	3415.542253
608	3413.92401
609	3412.736158
610	3411.941648
611	3411.166614
612	3411.045945
613	3409.12152
614	3408.660828
615	3407.903434
616	3407.802653
617	3406.744844
618	3406.646697
619	3406.238207
620	3404.377852
621	3402.585408
622	3400.638195
623	3398.912598
624	3397.203443
625	3395.609314
626	3394.870112
627	3393.962725
628	3393.468295
629	3392.767606
630	3391.979697
631	3388.227738
632	3384.319324
633	3381.933915
634	3380.86018
635	3380.144327
636	3379.856869
637	3377.834185
638	3376.259512
639	3374.557895
640	3373.003108
641	3370.430447
642	3369.801349
643	3368.148747
644	3367.347863
645	3366.04028
646	3364.565172
647	3362.854116
648	3361.034631
649	3359.341653
650	3357.747025
651	3356.71103
652	3356.164506
653	3356.034748
654	3355.969418
655	3354.761917
656	3353.738817
657	3351.887099
658	3349.692135
659	3348.814207
660	3348.77692
661	3347.369911
662	3345.995186
663	3345.917873
664	3344.473467
665	3342.93262
666	3342.500957
667	3341.402689
668	3340.595412
669	3339.858457
670	3338.426973
671	3337.169677
672	3335.699992
673	3333.503029
674	3333.209854
675	3332.131538
676	3330.373888
677	3329.501028
678	3328.71421
679	3327.537053
680	3325.654506
681	3325.451436
682	3323.324869
683	3321.722879
684	3321.550462
685	3320.888298
686	3320.137294
687	3319.215769
688	3317.570671
689	3316.800139
690	3315.784504
691	3313.405471
692	3313.222237
693	3311.158434
694	3310.346649
695	3309.705192
696	3308.528616
697	3307.6087
698	3306.434331
699	3305.003809
700	3303.009178
701	3301.226279
702	3299.76335
703	3299.068797
704	3298.07987
705	3296.681941
706	3294.976199
707	3292.246341
708	3291.671116
709	3291.129543
710	3290.007727
711	3289.081939
712	3288.474525
713	3287.814419
714	3287.419569
715	3286.226593
716	3285.338583
717	3283.336198
718	3281.841255
719	3281.228741
720	3280.261425
721	3278.205625
722	3276.972201
723	3275.754231
724	3273.665258
725	3271.921842
726	3271.378239
727	3270.80678
728	3268.930129
729	3266.948677
730	3264.712331
731	3264.415501
732	3263.284515
733	3261.887268
734	3259.739953
735	3257.646606
736	3255.672213
737	3254.673214
738	3253.516988
739	3252.765711
740	3251.993084
741	3249.763752
742	3248.887687
743	3247.345714
744	3244.855712
745	3243.47089
746	3242.397049
747	3241.353234
748	3239.878763
749	3239.117294
750	3237.230381
751	3235.98261
752	3235.483063
753	3234.790012
754	3233.502379
755	3232.52912
756	3232.376506
757	3231.593294
758	3230.763998
759	3229.576328
760	3228.005605
761	3226.220886
762	3224.483663
763	3222.871771
764	3222.298413
765	3221.314357
766	3219.684178
767	3217.570411
768	3216.557474
769	3215.122395
770	3214.548904
771	3213.823615
772	3211.338483
773	3208.804893
774	3208.076127
775	3206.106757
776	3204.004847
777	3202.176221
778	3201.138816
779	3198.395663
780	3196.988598
781	3196.027352
782	3195.559686
783	3194.593012
784	3193.011036
785	3191.208422
786	3189.872467
787	3187.922945
788	3185.991317
789	3184.660241
790	3184.413133
791	3183.831357
792	3182.000593
793	3180.819795
794	3180.092302
795	3179.198159
796	3178.194431
797	3177.689957
798	3176.261073
799	3174.363748
800	3172.445594
801	3172.027396
802	3170.526262
803	3168.080423
804	3166.587198
805	3164.960949
806	3163.718763
807	3162.980922
808	3162.361917
809	3161.022868
810	3158.268024
811	3155.278944
812	3152.493839
813	3151.824032
814	3149.262937
815	3147.014073
816	3146.486238
817	3145.773445
818	3143.553788
819	3142.98807
820	3141.455179
821	3139.749368
822	3138.424913
823	3137.874454
824	3137.711258
825	3136.4014
826	3134.925017
827	3134.256767
828	3133.12681
829	3131.268384
830	3129.833121
831	3128.297685
832	3127.522455
833	3126.03442
834	3123.00655
835	3121.787276
836	3120.485868
837	3117.633537
838	3115.731587
839	3114.587325
840	3112.989867
841	3111.451973
842	3109.94228
843	3109.34674
844	3107.720694
845	3107.185418
846	3105.355007
847	3104.738839
848	3104.283994
849	3103.704505
850	3102.93821
851	3102.314158
852	3100.626307
853	3098.899333
854	3098.569032
855	3096.995493
856	3096.52587
857	3093.878423
858	3092.802841
859	3092.25438
860	3091.015216
861	3088.317719
862	3086.220627
863	3085.432822
864	3084.158103
865	3084.026452
866	3083.063374
867	3081.637892
868	3079.021952
869	3077.638734
870	3076.534353
871	3074.997749
872	3074.028005
873	3072.892094
874	3071.477953
875	3070.128053
876	3068.906977
877	3068.215833
878	3067.142975
879	3066.639527
880	3065.986048
881	3064.656638
882	3063.882219
883	3063.137262
884	3062.326712
885	3060.912352
886	3059.868258
887	3058.828243
888	3057.550049
889	3056.696363
890	3055.229165
891	3054.277407
892	3052.303506
893	3051.603894
894	3049.956752
895	3049.514059
896	3048.473931
897	3047.998708
898	3046.420224
899	3045.505408
900	3044.90394
901	3044.413573
902	3044.330753
903	3043.602249
904	3042.61767
905	3041.674295
906	3040.997103
907	3040.403354
908	3038.737291
909	3037.631948
910	3035.193575
911	3034.452358
912	3032.247553
913	3030.278081
914	3030.151605
915	3028.992096
916	3027.838953
917	3027.187104
918	3026.496529
919	3026.079321
920	3024.406438
921	3023.203537
922	3022.631909
923	3020.951875
924	3018.393
925	3016.489773
926	3016.077519
927	3015.695266
928	3013.574116
929	3013.054847
930	3012.659662
931	3012.103454
932	3011.184178
933	3009.97518
934	3009.13217
935	3009.069556
936	3008.796197
937	3008.400711
938	3007.469517
939	3006.309692
940	3004.692221
941	3004.202168
942	3003.155336
943	3002.672816
944	3001.978087
945	3000.122157
946	2999.586884
947	2998.814462
948	2996.835696
949	2995.67975
950	2994.85896
951	2992.428762
952	2992.066288
953	2990.98563
954	2989.180614
955	2988.47273
956	2987.750645
957	2986.734551
958	2984.449704
959	2983.706179
960	2982.526919
961	2981.594413
962	2979.670975
963	2978.594364
964	2976.809617
965	2975.483196
966	2973.612642
967	2972.219796
968	2971.076383
969	2970.446288
970	2969.699627
971	2968.390221
972	2967.876853
973	2965.649231
974	2964.382997
975	2964.146041
976	2961.75303
977	2960.494918
978	2958.595146
979	2956.423929
980	2954.416497
981	2951.937471
982	2949.839568
983	2949.490088
984	2948.43154
985	2946.112881
986	2945.412069
987	2944.479022
988	2943.327557
989	2942.10664
990	2941.235063
991	2940.269588
992	2939.723927
993	2938.72883
994	2937.254484
995	2935.353809
996	2933.9496
997	2933.671554
998	2933.038762
999	2931.351685
