iter	Passed	Remaining
0	1	188
1	2	127
2	10	350
3	18	441
4	20	383
5	22	357
6	25	332
7	26	301
8	27	280
9	29	263
10	30	246
11	31	231
12	33	222
13	34	212
14	35	202
15	36	193
16	38	186
17	42	192
18	44	188
19	48	192
20	53	200
21	53	189
22	54	183
23	56	177
24	57	172
25	58	166
26	60	162
27	61	158
28	63	154
29	64	150
30	65	144
31	66	141
32	69	140
33	70	136
34	71	132
35	72	128
36	73	124
37	76	124
38	77	121
39	78	118
40	81	117
41	83	114
42	84	111
43	85	108
44	86	106
45	87	102
46	89	101
47	91	99
48	94	98
49	95	95
50	98	94
51	99	91
52	115	102
53	119	101
54	120	98
55	121	95
56	123	93
57	126	91
58	127	88
59	128	85
60	130	83
61	131	80
62	133	78
63	135	76
64	159	85
65	167	86
66	169	83
67	170	80
68	171	77
69	172	74
70	174	71
71	178	69
72	180	66
73	183	64
74	185	61
75	187	59
76	189	56
77	191	53
78	192	51
79	194	48
80	196	46
81	199	43
82	200	41
83	201	38
84	202	35
85	204	33
86	205	30
87	207	28
88	208	25
89	209	23
90	210	20
91	211	18
92	213	16
93	215	13
94	218	11
95	220	9
96	223	6
97	225	4
98	226	2
99	229	0
